DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
ERATH EXCELS ACADEMY INC,2,94,87,52,16,84,52,3,91,91,27,0,91,45,18,88,67,38,,,,86,50,18,87,53,15,,,,,,,,,,,,,84,52,17
THREE WAY ISD,1,236,63,26,8,67,33,11,65,58,19,6,65,25,6,59,27,8,,,,45,12,3,76,37,13,,,,,,,,,,70,30,10,56,23,9
DUBLIN ISD,3,1087,89,61,29,89,67,32,89,90,59,29,89,60,24,81,52,29,60,40,20,87,57,25,92,69,36,,,,-1,-1,-1,,,,79,79,50,88,57,27
STEPHENVILLE ISD,6,3688,81,57,30,81,59,30,83,81,52,29,83,62,37,81,57,31,71,33,12,70,41,18,88,67,38,63,50,31,98,74,43,-1,-1,-1,84,65,43,71,44,20
BLUFF DALE ISD,1,227,85,53,23,87,63,27,89,80,41,16,89,57,17,85,46,35,-1,-1,-1,55,31,14,88,55,23,83,50,50,,,,,,,-1,-1,-1,84,41,12
HUCKABAY ISD,1,304,88,59,26,90,70,30,90,88,54,26,90,52,23,78,39,14,,,,85,51,13,89,60,28,,,,,,,,,,92,63,33,84,48,17
LINGLEVILLE ISD,1,284,84,57,23,88,65,22,73,83,48,24,73,45,16,86,73,38,-1,-1,-1,79,52,20,87,60,25,,,,,,,,,,100,71,43,80,54,19
MORGAN MILL ISD,1,118,82,49,22,91,67,33,89,78,38,16,89,53,16,33,0,0,,,,80,33,7,82,51,24,,,,,,,,,,,,,75,42,17
CHILTON ISD,1,546,78,42,16,85,51,23,78,72,31,9,78,38,9,68,44,19,84,46,15,73,37,14,85,60,27,,,,-1,-1,-1,-1,-1,-1,76,24,7,77,39,15
MARLIN ISD,3,882,55,28,11,55,29,13,52,56,27,11,52,25,7,56,36,13,51,24,8,59,32,14,73,45,25,,,,-1,-1,-1,,,,43,20,13,55,28,11
WESTPHALIA ISD,1,155,94,72,45,93,74,47,97,97,73,45,97,79,48,75,33,25,-1,-1,-1,92,33,17,94,73,46,,,,,,,,,,100,100,69,93,74,52
ROSEBUD-LOTT ISD,3,716,69,41,16,72,49,18,63,66,32,15,63,35,13,82,45,19,66,36,9,67,38,17,72,44,18,,,,-1,-1,-1,,,,70,40,11,65,34,13
BONHAM ISD,5,1885,72,42,17,73,47,19,74,69,35,14,74,43,17,75,41,22,61,32,11,67,34,13,76,46,19,74,44,26,100,93,64,-1,-1,-1,72,46,23,67,36,14
DODD CITY ISD,1,328,84,58,29,85,62,31,87,80,48,20,87,61,24,88,74,53,,,,86,59,24,83,58,29,,,,,,,,,,100,75,44,76,48,17
ECTOR ISD,2,234,63,32,9,60,37,10,70,67,25,8,70,39,9,42,15,4,-1,-1,-1,59,22,2,65,34,10,-1,-1,-1,,,,,,,29,14,0,62,29,6
HONEY GROVE ISD,3,640,83,56,27,81,59,29,85,86,55,29,85,57,22,81,43,19,74,50,17,82,50,25,85,59,28,,,,-1,-1,-1,,,,79,47,21,76,48,21
LEONARD ISD,4,825,78,42,17,77,51,22,74,79,35,13,74,37,11,84,38,20,53,47,7,73,36,15,81,45,18,54,8,8,,,,-1,-1,-1,72,47,20,71,34,12
SAVOY ISD,2,303,80,49,24,87,63,34,75,76,38,20,75,44,8,70,36,23,-1,-1,-1,70,30,14,81,51,25,100,33,17,,,,,,,80,60,20,74,41,21
TRENTON ISD,3,725,77,47,16,80,54,19,83,73,35,11,83,57,23,67,38,11,50,38,13,69,37,12,82,52,19,64,36,9,,,,,,,60,40,5,65,35,11
SAM RAYBURN ISD,2,517,84,56,26,86,67,28,83,82,47,24,83,39,13,82,67,42,100,100,50,89,59,23,82,54,26,-1,-1,-1,,,,,,,97,66,25,78,48,21
FLATONIA ISD,3,629,93,73,38,92,72,34,91,96,75,42,91,72,33,90,71,51,100,81,31,90,64,29,96,85,54,,,,100,75,25,,,,90,50,10,89,63,29
LA GRANGE ISD,3,1868,77,49,21,77,51,23,75,76,42,14,75,47,18,82,63,39,60,31,11,70,38,14,87,62,29,86,43,14,94,59,18,,,,53,24,8,68,36,13
SCHULENBURG ISD,2,696,77,48,19,75,50,17,85,75,42,16,85,58,30,77,46,22,65,30,7,70,38,13,88,65,30,,,,70,20,0,,,,75,46,8,71,38,12
FAYETTEVILLE ISD,1,279,87,59,28,90,67,29,86,83,48,20,86,59,27,86,67,53,-1,-1,-1,75,42,16,89,64,31,,,,,,,,,,92,38,15,90,47,14
ROUND TOP-CARMINE ISD,2,240,91,74,42,88,72,42,95,93,71,39,95,81,37,94,79,56,64,27,9,84,59,29,94,79,46,,,,,,,,,,100,100,67,88,70,38
ROBY CISD,1,329,64,38,17,71,48,20,76,57,28,13,76,44,23,48,29,8,,,,55,28,13,69,43,19,,,,,,,,,,69,38,8,63,35,16
ROTAN ISD,1,242,85,57,24,86,58,21,70,88,57,24,70,40,10,89,69,49,87,53,13,83,52,22,89,65,28,-1,-1,-1,,,,,,,100,67,17,81,51,19
FLOYDADA COLLEGIATE ISD,4,686,72,41,17,73,43,16,75,73,41,20,75,42,18,61,31,13,43,38,24,69,35,12,90,71,42,,,,-1,-1,-1,,,,-1,-1,-1,67,35,14
LOCKNEY ISD,4,430,70,35,10,67,38,13,82,66,30,10,82,35,4,73,36,10,-1,-1,-1,67,32,8,83,49,21,,,,-1,-1,-1,-1,-1,-1,,,,65,29,7
CROWELL ISD,1,192,76,42,19,81,48,23,77,70,34,14,77,43,13,79,42,21,63,25,0,74,43,16,86,41,22,,,,,,,,,,88,63,38,74,38,17
LAMAR CISD,44,38877,83,59,32,83,64,34,83,82,55,29,83,58,30,82,59,40,80,55,28,77,49,23,91,73,45,81,53,26,93,79,53,91,81,41,89,69,41,75,47,22
NEEDVILLE ISD,4,3378,89,64,32,88,67,33,93,90,61,31,93,69,33,83,55,33,79,53,24,86,55,23,93,74,42,73,64,27,92,83,42,-1,-1,-1,96,73,31,84,52,22
FORT BEND ISD,82,76543,79,56,32,81,62,34,79,76,50,28,79,54,29,80,58,39,69,41,18,70,42,18,88,68,40,71,48,27,94,80,55,81,55,29,84,64,37,69,41,18
STAFFORD MSD,5,3511,70,40,18,70,47,21,66,69,33,15,66,32,12,77,44,23,69,37,15,66,35,13,74,46,28,53,40,20,92,78,59,33,33,33,74,48,29,66,34,13
MOUNT VERNON ISD,3,1523,82,51,23,82,54,26,80,82,50,23,80,43,13,80,54,31,64,29,7,77,42,18,85,56,27,-1,-1,-1,94,72,33,,,,73,45,15,76,43,18
FAIRFIELD ISD,4,1681,74,46,22,76,52,24,78,71,38,17,78,50,25,69,42,23,64,33,12,72,43,17,76,50,25,40,20,10,100,57,19,-1,-1,-1,83,67,37,66,37,14
TEAGUE ISD,4,1181,79,48,19,81,53,20,73,80,47,20,73,36,11,75,48,23,72,39,13,80,47,19,79,50,21,,,,100,67,44,,,,84,54,20,76,44,17
WORTHAM ISD,3,520,69,35,15,71,41,18,69,67,29,11,69,28,11,63,42,19,71,33,8,60,25,11,72,40,18,,,,,,,-1,-1,-1,52,29,10,64,28,12
DEW ISD,1,133,84,55,26,91,66,39,74,79,51,16,74,32,11,83,50,33,60,40,30,74,58,32,87,54,24,,,,-1,-1,-1,,,,83,67,50,81,49,24
DILLEY ISD,3,907,59,29,11,62,38,14,57,58,21,8,57,22,8,56,29,13,40,40,0,57,27,10,84,51,30,,,,,,,,,,,,,56,27,9
PEARSALL ISD,5,2031,52,25,9,58,33,11,50,43,16,6,50,16,3,60,37,17,54,31,0,51,24,8,69,48,28,-1,-1,-1,60,40,40,-1,-1,-1,,,,49,23,8
SEAGRAVES ISD,1,516,59,30,12,61,30,10,56,55,25,11,56,34,13,66,46,23,40,6,0,58,29,11,77,56,27,,,,,,,,,,80,20,0,54,26,10
LOOP ISD,1,150,83,54,28,86,64,31,80,82,49,26,80,41,15,83,58,39,,,,76,38,12,89,64,37,-1,-1,-1,,,,,,,43,29,0,77,49,24
SEMINOLE ISD,6,2957,78,51,27,75,51,25,79,81,53,30,79,51,24,77,49,26,62,24,8,71,40,17,88,67,40,100,83,67,95,75,45,89,78,56,78,63,30,72,44,22
ODYSSEY ACADEMY INC,2,1492,60,30,14,67,41,19,57,53,20,9,57,28,10,61,36,20,58,25,10,55,27,12,71,41,18,,,,38,25,25,-1,-1,-1,,,,55,26,11
AMBASSADORS PREPARATORY ACADEMY,1,189,80,47,21,85,55,28,83,74,37,12,83,52,24,83,42,25,78,45,22,85,48,15,67,37,26,,,,100,83,67,,,,-1,-1,-1,80,47,21
DICKINSON ISD,17,11901,73,44,19,71,45,19,76,72,39,16,76,46,19,79,51,28,66,36,13,71,40,16,80,54,28,72,33,9,87,65,36,94,59,0,78,50,24,69,38,15
GALVESTON ISD,13,6650,67,40,19,70,48,21,64,65,33,17,64,35,14,65,37,23,55,27,11,66,37,16,80,57,31,68,36,18,96,85,53,100,70,50,66,44,25,62,33,14
HIGH ISLAND ISD,1,158,86,55,23,85,56,18,82,86,46,19,82,56,23,93,73,47,,,,90,52,28,86,56,22,60,0,0,100,100,20,,,,83,67,50,80,52,22
TEXAS CITY ISD,15,7756,63,35,15,64,39,16,63,62,31,14,63,30,10,66,37,18,51,23,9,66,37,15,75,47,21,48,21,6,84,64,39,,,,73,45,22,60,32,13
HITCHCOCK ISD,5,1715,61,32,14,65,38,15,60,59,27,12,60,32,15,50,22,14,55,26,11,64,32,12,65,43,21,,,,79,29,7,,,,66,33,11,59,29,12
SANTA FE ISD,6,4325,75,46,21,75,51,24,78,72,40,18,78,47,19,76,50,28,76,38,21,68,40,18,77,49,23,77,36,9,82,57,31,89,56,22,74,42,22,68,38,16
CLEAR CREEK ISD,46,40235,82,59,32,83,64,34,83,81,52,26,83,58,30,82,61,42,71,42,18,75,48,23,87,65,36,83,55,31,93,79,52,81,59,31,84,63,37,72,44,20
FRIENDSWOOD ISD,6,6155,92,73,43,92,77,43,93,93,72,41,93,75,44,86,63,41,90,77,45,88,64,32,93,74,43,100,83,28,98,87,63,92,88,56,94,79,48,80,51,23
POST ISD,4,784,68,38,14,72,41,14,57,69,35,14,57,31,7,63,40,17,64,24,10,63,33,12,79,52,19,-1,-1,-1,-1,-1,-1,,,,73,31,12,64,33,13
SOUTHLAND ISD,1,114,61,34,15,68,48,19,56,57,24,12,56,22,0,60,40,40,,,,51,22,10,79,56,24,,,,,,,,,,-1,-1,-1,62,34,13
DOSS CONSOLIDATED CSD,1,24,94,59,29,100,50,25,-1,100,75,38,-1,-1,-1,,,,,,,92,46,8,-1,-1,-1,,,,-1,-1,-1,,,,,,,,,
FREDERICKSBURG ISD,6,3100,73,48,23,74,53,24,74,71,42,19,74,46,21,78,53,34,64,50,7,63,36,14,86,63,33,-1,-1,-1,84,56,38,-1,-1,-1,71,50,25,63,35,14
HARPER ISD,3,559,83,55,28,81,58,26,84,84,51,27,84,53,23,84,61,45,-1,-1,-1,75,38,15,84,58,30,-1,-1,-1,,,,,,,100,60,33,78,48,23
GLASSCOCK COUNTY ISD,2,293,92,73,40,92,78,40,95,94,71,42,95,64,27,85,69,50,,,,89,59,28,95,82,48,,,,,,,,,,,,,78,47,20
GOLIAD ISD,4,1283,72,43,18,74,50,23,74,71,36,14,74,42,15,68,38,20,43,20,4,64,35,13,83,53,25,100,71,29,85,46,31,,,,73,50,7,62,31,11
GONZALES ISD,5,2613,63,34,13,64,38,15,60,62,31,12,60,29,8,65,38,20,46,20,6,60,30,12,78,52,23,-1,-1,-1,0,0,0,,,,100,71,14,59,31,11
NIXON-SMILEY CISD,5,1064,77,49,24,78,54,25,80,72,43,19,80,50,22,87,55,38,80,40,0,75,48,21,86,55,33,,,,,,,,,,88,76,35,76,48,21
WAELDER ISD,1,304,61,31,13,64,43,17,63,57,19,6,63,26,11,64,36,23,58,36,17,62,30,12,50,25,8,,,,,,,,,,-1,-1,-1,61,30,11
LEFORS ISD,1,176,65,32,16,67,33,16,68,66,30,16,68,34,16,50,27,15,-1,-1,-1,73,40,20,62,28,14,71,43,0,100,86,57,,,,-1,-1,-1,64,31,16
MCLEAN ISD,1,185,77,47,19,77,47,17,70,82,48,23,70,46,14,68,52,24,,,,100,83,33,83,67,50,,,,,,,,,,,,,100,83,50
PAMPA ISD,6,3451,68,39,17,67,42,18,69,68,36,16,69,38,14,70,43,20,52,21,9,64,35,15,73,45,19,50,30,10,88,65,50,,,,59,35,18,61,32,14
GRANDVIEW-HOPKINS ISD,1,46,82,49,22,95,60,30,60,75,45,20,60,20,0,,,,,,,-1,-1,-1,81,49,23,,,,,,,,,,,,,80,40,0
BELLS ISD,3,884,87,65,34,86,65,35,88,90,64,33,88,68,33,85,60,34,-1,-1,-1,80,48,22,88,66,34,93,74,44,100,86,29,-1,-1,-1,91,72,42,79,48,21
COLLINSVILLE ISD,2,556,73,42,15,73,46,17,75,71,34,10,75,46,16,77,44,22,78,44,0,56,28,12,78,46,16,100,57,29,,,,,,,72,34,14,67,35,14
DENISON ISD,9,4674,78,50,23,77,52,24,81,76,44,20,81,56,24,81,56,30,64,33,11,73,45,19,82,56,27,86,54,26,96,77,53,-1,-1,-1,76,45,20,72,42,17
HOWE ISD,4,1248,84,57,26,84,62,28,91,82,51,21,91,65,30,85,49,26,61,15,9,78,45,17,87,64,30,94,59,24,-1,-1,-1,,,,86,51,22,79,49,19
SHERMAN ISD,15,7698,65,37,14,67,43,16,69,61,29,12,69,39,13,66,36,19,52,23,7,62,32,11,74,48,21,63,32,11,74,48,24,90,30,10,64,37,15,61,32,11
TIOGA ISD,1,706,84,53,23,85,61,26,85,83,48,22,85,45,14,76,52,32,-1,-1,-1,81,51,21,84,53,23,90,50,20,-1,-1,-1,,,,91,70,36,77,44,16
VAN ALSTYNE ISD,4,2046,90,68,38,91,73,41,91,91,63,31,91,74,45,84,60,43,85,52,34,87,61,29,91,70,40,91,68,38,95,77,58,,,,93,71,44,82,53,26
WHITESBORO ISD,4,1717,76,45,19,76,51,23,82,72,33,12,82,52,20,78,52,27,58,21,11,72,36,14,77,48,20,79,38,21,100,73,47,,,,75,41,19,70,37,14
WHITEWRIGHT ISD,3,755,87,61,32,84,60,31,86,89,59,28,86,58,25,91,74,56,77,48,18,88,52,26,88,63,33,92,67,42,-1,-1,-1,,,,84,64,38,80,49,23
POTTSBORO ISD,3,1430,79,47,20,83,57,26,78,73,34,11,78,43,16,80,60,33,75,25,8,78,38,12,79,48,21,87,63,29,93,79,50,-1,-1,-1,71,42,19,68,32,12
S AND S CISD,3,991,76,49,20,75,52,21,86,70,39,14,86,59,25,83,52,27,-1,-1,-1,72,46,17,76,48,20,100,100,67,91,73,9,,,,85,58,27,69,38,13
GUNTER ISD,3,1113,87,61,27,89,69,33,92,84,50,20,92,67,26,80,55,28,86,50,21,74,43,17,91,66,30,83,25,8,70,70,40,-1,-1,-1,94,71,18,74,43,12
TOM BEAN ISD,3,657,81,52,23,78,51,23,84,82,52,22,84,54,23,84,49,30,79,50,21,81,46,19,82,54,24,75,50,33,-1,-1,-1,,,,89,39,17,76,46,20
EAST TEXAS CHARTER SCHOOLS,1,141,87,66,25,75,54,9,100,93,52,26,100,86,39,98,86,45,75,63,13,81,56,8,91,73,32,,,,,,,,,,73,27,9,89,68,26
GLADEWATER ISD,4,1703,69,40,14,70,44,16,72,65,33,11,72,41,11,78,42,20,61,27,5,72,41,16,73,44,17,29,0,0,100,69,15,-1,-1,-1,61,32,11,65,35,11
KILGORE ISD,5,3887,71,42,18,71,48,21,74,68,35,14,74,44,15,73,46,21,56,26,9,69,40,16,76,48,21,75,55,45,100,96,50,,,,70,43,18,66,37,13
LONGVIEW ISD,14,8223,79,54,27,78,56,27,82,80,53,29,82,51,22,76,48,25,74,44,18,79,52,25,91,74,46,91,61,43,92,79,62,100,100,71,84,60,35,77,50,23
PINE TREE ISD,6,4677,77,47,20,75,50,22,79,77,42,17,79,48,18,79,49,28,65,30,11,76,44,17,86,61,30,89,61,28,87,65,44,47,6,0,79,50,26,73,40,16
SABINE ISD,3,1531,83,57,27,84,62,30,88,82,50,25,88,62,24,73,49,31,70,35,9,78,46,22,85,61,30,71,43,43,100,50,13,,,,85,59,28,79,50,22
SPRING HILL ISD,4,2028,85,60,29,85,64,31,86,83,54,27,86,62,28,87,57,33,67,40,14,80,51,24,90,67,34,88,65,6,95,95,73,-1,-1,-1,83,52,23,78,48,21
WHITE OAK ISD,4,1458,84,57,25,84,64,30,82,85,52,20,82,44,17,83,62,34,47,24,5,85,56,19,85,58,26,63,50,13,100,69,25,,,,82,56,27,75,43,17
ANDERSON-SHIRO CISD,2,886,90,65,31,88,67,30,89,92,64,31,89,62,27,95,60,42,74,45,27,84,54,24,93,68,32,-1,-1,-1,100,100,89,,,,78,54,24,83,52,23
IOLA ISD,2,539,84,60,34,88,68,40,79,86,58,34,79,52,24,74,47,23,59,0,0,77,51,23,86,63,37,,,,-1,-1,-1,,,,88,88,35,74,41,19
NAVASOTA ISD,6,2953,66,36,14,65,40,17,69,68,33,12,69,39,14,58,29,13,51,19,6,67,37,14,74,49,23,92,42,0,94,50,38,71,50,29,65,42,22,64,34,14
RICHARDS ISD,1,213,67,35,14,76,48,24,72,56,26,6,72,28,6,61,21,9,41,10,3,90,65,35,68,34,13,,,,,,,,,,100,100,20,60,29,15
SEGUIN ISD,14,7039,63,34,14,64,39,16,66,59,27,10,66,34,12,67,38,19,59,29,9,59,29,11,76,50,23,71,43,7,52,48,29,57,43,0,64,41,16,58,29,10
SCHERTZ-CIBOLO-U CITY ISD,16,15875,80,53,25,79,55,23,84,78,48,21,84,58,29,85,60,39,77,47,19,77,49,22,84,60,31,91,60,31,93,74,39,74,46,18,83,58,28,70,39,15
NAVARRO ISD,4,1971,82,55,25,83,60,28,81,82,51,21,81,53,21,82,54,33,89,60,16,75,43,15,87,63,32,-1,-1,-1,96,85,56,100,67,0,80,48,25,71,42,16
MARION ISD,5,1471,80,54,26,79,58,26,85,78,46,21,85,55,25,85,62,43,63,24,10,75,46,19,85,62,32,82,45,27,,,,-1,-1,-1,90,49,24,74,43,17
ABERNATHY ISD,4,820,79,52,25,78,56,27,89,78,47,24,89,60,23,71,48,26,39,22,0,71,40,17,90,69,36,-1,-1,-1,-1,-1,-1,,,,64,45,36,68,35,14
COTTON CENTER ISD,1,99,73,47,20,83,62,24,69,61,28,11,69,50,19,77,50,32,,,,71,45,19,74,48,21,,,,,,,,,,,,,71,42,17
HALE CENTER ISD,3,597,69,33,13,79,44,18,70,62,22,8,70,30,9,58,29,13,86,36,14,67,29,10,76,46,20,44,22,0,,,,,,,76,29,12,67,31,11
PETERSBURG ISD,1,274,85,53,23,80,57,28,84,90,52,20,84,43,14,86,56,31,100,40,0,82,48,19,91,67,36,-1,-1,-1,,,,,,,,,,83,49,17
PLAINVIEW ISD,10,4710,68,39,15,68,41,16,73,66,34,13,73,42,15,71,42,22,58,27,8,67,36,14,83,59,29,76,29,14,91,73,36,-1,-1,-1,61,38,28,65,35,13
MEMPHIS ISD,4,431,76,44,19,74,47,17,67,77,40,18,67,38,14,87,48,30,67,31,3,75,40,17,80,55,27,-1,-1,-1,,,,,,,92,67,25,74,40,16
TURKEY-QUITAQUE ISD,1,193,89,64,29,93,71,29,91,87,54,29,91,67,29,77,65,35,100,60,40,86,52,23,90,68,32,,,,,,,,,,-1,-1,-1,87,56,20
HAMILTON ISD,3,832,83,59,29,83,66,31,84,81,52,25,84,59,25,83,58,39,100,100,0,77,48,21,84,62,31,,,,-1,-1,-1,,,,79,43,36,76,48,21
HICO ISD,2,603,83,53,23,87,66,28,85,82,40,17,85,53,17,69,49,29,71,43,29,85,52,22,84,54,23,,,,,,,,,,62,38,8,78,46,19
GRUVER ISD,3,418,95,75,41,94,73,32,93,99,85,55,93,68,40,87,58,33,,,,92,67,28,98,83,52,,,,-1,-1,-1,,,,-1,-1,-1,90,62,30
PRINGLE-MORSE CISD,1,128,89,51,24,89,61,26,91,89,42,22,91,47,19,82,45,45,,,,84,42,18,98,68,34,,,,,,,,,,100,83,50,90,47,21
SPEARMAN ISD,3,783,86,63,33,86,63,29,87,85,61,34,87,64,38,87,68,38,,,,82,57,27,94,77,46,,,,-1,-1,-1,,,,,,,82,56,27
CHILLICOTHE ISD,1,199,71,48,20,68,48,18,83,65,40,19,83,54,21,86,66,28,-1,-1,-1,74,43,18,70,52,21,-1,-1,-1,,,,-1,-1,-1,64,45,18,70,47,19
QUANAH ISD,3,497,81,49,24,82,55,28,84,83,45,22,84,46,16,68,45,24,59,47,18,75,41,19,85,53,26,,,,-1,-1,-1,,,,94,66,34,77,42,19
KOUNTZE ISD,4,1125,76,44,18,72,46,20,83,77,44,20,83,41,12,74,41,17,65,31,11,75,46,17,78,46,20,100,57,14,100,100,83,,,,81,47,22,71,38,15
SILSBEE ISD,4,2708,63,33,12,64,40,15,67,58,23,7,67,34,10,71,42,23,47,20,5,68,31,10,68,37,14,45,27,0,100,25,13,-1,-1,-1,65,38,18,55,25,8
HARDIN-JEFFERSON ISD,5,2602,83,56,26,82,59,27,85,83,53,24,85,55,23,81,58,38,68,38,13,80,49,21,86,60,29,100,40,0,97,78,58,29,14,14,80,52,20,72,41,16
LUMBERTON ISD,5,4188,81,53,25,80,55,25,83,81,49,20,83,54,23,86,61,40,48,15,8,79,50,22,82,54,25,70,52,37,83,60,36,-1,-1,-1,80,50,21,71,40,16
WEST HARDIN COUNTY CISD,2,568,75,45,16,77,56,20,80,75,38,13,80,40,7,64,40,26,91,36,9,70,45,11,75,46,17,,,,,,,,,,81,31,0,72,44,15
SER-NINOS CHARTER SCHOOL,3,1009,70,40,18,71,46,24,63,72,36,14,63,40,19,66,26,16,-1,-1,-1,70,40,19,90,40,30,73,36,0,,,,,,,-1,-1,-1,70,40,18
ARISTOI CLASSICAL ACADEMY,3,1219,84,62,33,89,73,42,85,79,51,24,85,61,28,83,55,28,69,52,26,79,56,25,89,67,38,90,50,30,93,78,52,-1,-1,-1,87,56,16,70,49,25
GEORGE I SANCHEZ CHARTER,2,947,49,20,5,46,25,5,52,44,9,1,52,19,3,62,30,11,54,31,8,49,20,5,33,0,0,,,,,,,,,,-1,-1,-1,49,20,5
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,6,1563,75,45,21,73,48,23,79,75,43,21,79,36,12,81,48,26,50,50,0,76,45,21,56,25,13,,,,,,,,,,,,,75,44,20
ACADEMY OF ACCELERATED LEARNING INC,1,4,43,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,43,0,0,,,,,,,,,,,,,,,,,,
EXCEL ACADEMY,4,217,4,0,0,0,0,0,-1,14,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-1,-1,-1
THE VARNETT PUBLIC SCHOOL,3,1137,67,35,17,72,41,21,55,68,35,15,55,24,11,54,15,9,64,30,14,69,38,18,-1,-1,-1,,,,,,,,,,-1,-1,-1,67,35,16
ALIEF MONTESSORI COMMUNITY SCHOOL,1,349,81,53,30,90,65,37,50,80,52,29,50,20,10,83,33,33,84,61,36,75,43,19,91,64,55,,,,88,67,43,,,,-1,-1,-1,79,47,22
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,1,560,89,64,35,88,64,31,95,91,67,39,95,70,40,80,37,22,,,,89,64,35,-1,-1,-1,,,,-1,-1,-1,,,,,,,89,64,35
HOUSTON HEIGHTS HIGH SCHOOL,1,175,63,27,8,52,23,0,71,65,27,13,71,31,13,74,33,14,67,42,17,61,23,5,100,100,50,,,,,,,,,,-1,-1,-1,61,26,7
HOUSTON GATEWAY ACADEMY INC,3,2082,94,77,46,95,80,47,88,96,82,54,88,61,23,93,67,44,90,79,56,94,77,46,83,61,33,,,,-1,-1,-1,,,,-1,-1,-1,94,76,44
CALVIN NELMS CHARTER SCHOOLS,2,304,93,68,37,94,76,35,99,88,54,26,99,74,49,94,70,57,95,74,37,91,64,32,96,69,42,,,,100,97,77,,,,94,69,56,93,63,32
SOUTHWEST SCHOOL,5,1526,57,26,10,55,27,11,54,60,28,12,54,20,4,57,28,13,77,40,19,55,25,10,67,39,11,100,62,31,57,43,21,,,,83,67,0,58,26,11
TWO DIMENSIONS PREPARATORY ACADEMY,3,439,55,29,15,71,46,26,60,37,13,6,60,20,8,,,,56,28,16,17,17,0,,,,,,,,,,,,,-1,-1,-1,57,31,16
