DISTRICT ACCOUNTABILITY RATINGS,TOTAL STUDENTS_y,ATTENDANCE RATE (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD_y,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD_y,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),Change in STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,Change in STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,Change in STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE
B,733,94.3,94.1,71.0,43.0,14.0,75.0,37.0,15.0,62.7,3.1,0.0,0.0,0.0
C,217,91.8,92.9,62.0,35.0,8.0,38.0,14.0,5.0,69.2,11.1,0.0,0.0,0.0
A,428,98.3,100.0,96.0,82.0,45.0,96.0,81.0,51.0,80.0,40.0,0.0,0.0,0.0
B,5439,95.9,98.2,74.0,50.0,22.0,67.0,33.0,15.0,27.1,31.2,0.0,0.0,0.0
B,14314,96.1,96.8,75.0,53.0,25.0,70.0,39.0,19.0,55.3,35.1,0.0,0.0,0.0
A,4093,95.0,98.1,77.0,52.0,23.0,76.0,44.0,20.0,31.7,31.1,0.0,0.0,0.0
C,1689,93.6,96.4,70.0,41.0,16.0,65.0,31.0,12.0,34.9,25.0,0.0,0.0,0.0
A,3653,93.1,97.2,78.0,54.0,24.0,81.0,51.0,24.0,26.8,50.0,0.0,0.0,0.0
B,4962,91.3,90.8,64.0,39.0,14.0,56.0,23.0,9.0,22.3,23.0,0.0,0.0,0.0
B,1083,92.2,97.3,82.0,58.0,24.0,86.0,54.0,23.0,74.3,21.2,0.0,0.0,0.0
Not Rated: Senate Bill 1365,79,87.5,66.7,75.0,17.0,0.0,71.0,14.0,0.0,-1.0,,0.0,0.0,0.0
A,10268,97.8,99.0,89.0,72.0,40.0,88.0,64.0,34.0,93.2,54.9,0.0,0.0,0.0
B,1067,96.2,98.9,76.0,50.0,19.0,68.0,29.0,9.0,65.9,37.5,0.0,0.0,0.0
B,101,96.9,,86.0,57.0,34.0,77.0,55.0,20.0,,,0.0,0.0,0.0
A,169,94.9,100.0,97.0,80.0,43.0,92.0,59.0,29.0,72.7,0.0,0.0,0.0,0.0
B,535,94.7,94.7,69.0,45.0,16.0,76.0,39.0,16.0,82.1,6.3,0.0,0.0,0.0
B,208,97.4,,91.0,63.0,41.0,91.0,56.0,29.0,,,0.0,0.0,0.0
B,4808,95.2,95.7,80.0,60.0,30.0,78.0,48.0,24.0,74.0,37.6,0.0,0.0,0.0
A,1172,96.6,98.4,83.0,57.0,25.0,87.0,54.0,27.0,100.0,23.1,0.0,0.0,0.0
B,32,96.8,,100.0,64.0,9.0,91.0,27.0,9.0,,,0.0,0.0,0.0
B,639,93.7,100.0,75.0,52.0,19.0,69.0,39.0,16.0,51.5,29.4,0.0,0.0,0.0
A,132,96.5,100.0,96.0,78.0,43.0,89.0,66.0,23.0,100.0,42.9,0.0,0.0,0.0
B,531,95.4,97.5,88.0,62.0,25.0,76.0,37.0,11.0,47.4,38.9,0.0,0.0,0.0
C,2799,91.9,76.0,57.0,33.0,13.0,55.0,27.0,10.0,21.5,25.0,0.0,0.0,0.0
A,622,96.7,,83.0,60.0,33.0,79.0,51.0,25.0,,,0.0,0.0,0.0
A,478,95.0,100.0,81.0,54.0,21.0,73.0,34.0,11.0,80.0,9.4,0.0,0.0,0.0
A,781,98.3,100.0,91.0,73.0,37.0,85.0,54.0,25.0,71.8,47.5,0.0,0.0,0.0
B,228,96.0,100.0,78.0,49.0,21.0,84.0,49.0,23.0,100.0,14.3,0.0,0.0,0.0
B,379,96.7,93.3,80.0,53.0,24.0,75.0,43.0,19.0,78.6,18.2,0.0,0.0,0.0
A,133,96.7,-1.0,90.0,66.0,25.0,91.0,57.0,36.0,-1.0,0.0,0.0,0.0,0.0
A,1145,95.4,98.7,84.0,64.0,31.0,85.0,49.0,23.0,45.5,40.0,0.0,0.0,0.0
B,3807,92.0,94.9,70.0,45.0,19.0,68.0,38.0,17.0,37.3,29.3,0.0,0.0,0.0
C,2380,94.4,92.3,74.0,49.0,21.0,75.0,43.0,17.0,40.0,29.4,0.0,0.0,0.0
B,1089,96.1,88.3,86.0,63.0,29.0,86.0,47.0,21.0,49.1,23.1,0.0,0.0,0.0
B,126,95.7,87.5,72.0,42.0,12.0,37.0,15.0,9.0,85.7,0.0,0.0,0.0,0.0
B,1233,96.0,98.8,76.0,47.0,17.0,69.0,33.0,13.0,97.7,4.7,0.0,0.0,0.0
B,582,94.9,98.1,78.0,48.0,18.0,68.0,26.0,10.0,79.2,19.0,0.0,0.0,0.0
B,296,93.1,100.0,77.0,50.0,21.0,75.0,39.0,17.0,18.8,-1.0,0.0,0.0,0.0
A,483,96.7,100.0,87.0,60.0,31.0,85.0,57.0,26.0,79.2,21.1,0.0,0.0,0.0
A,3403,94.7,98.8,80.0,57.0,28.0,81.0,48.0,19.0,61.4,27.0,0.0,0.0,0.0
B,317,96.9,100.0,66.0,34.0,12.0,59.0,28.0,14.0,29.4,60.0,0.0,0.0,0.0
B,1172,91.6,87.1,71.0,44.0,18.0,72.0,38.0,17.0,56.5,9.6,0.0,0.0,0.0
A,1147,95.8,97.8,81.0,60.0,23.0,87.0,60.0,31.0,71.1,32.8,0.0,0.0,0.0
A,308,98.0,100.0,83.0,63.0,33.0,90.0,64.0,39.0,40.0,33.3,0.0,0.0,0.0
A,704,96.7,100.0,88.0,69.0,38.0,92.0,70.0,44.0,73.5,44.0,0.0,0.0,0.0
B,111,98.0,,95.0,64.0,35.0,89.0,69.0,40.0,,,0.0,0.0,0.0
A,136,97.3,,93.0,75.0,48.0,95.0,62.0,26.0,,,0.0,0.0,0.0
B,94,97.7,,83.0,56.0,35.0,88.0,54.0,29.0,,,0.0,0.0,0.0
A,1920,94.6,97.7,80.0,55.0,23.0,79.0,49.0,22.0,46.2,37.7,0.0,0.0,0.0
A,1093,97.6,95.3,80.0,59.0,29.0,85.0,52.0,21.0,100.0,21.8,0.0,0.0,0.0
C,181,98.5,80.0,72.0,43.0,15.0,66.0,28.0,12.0,91.7,0.0,0.0,0.0,0.0
A,1024,95.1,94.7,84.0,61.0,28.0,83.0,52.0,23.0,67.9,5.6,0.0,0.0,0.0
B,711,95.7,96.8,85.0,64.0,26.0,79.0,37.0,13.0,80.0,16.7,0.0,0.0,0.0
B,137,95.3,100.0,79.0,58.0,28.0,85.0,53.0,11.0,63.6,0.0,1.0,5.0,-1.0
B,711,95.7,96.8,85.0,64.0,26.0,79.0,37.0,13.0,80.0,16.7,-1.0,-5.0,1.0
B,137,95.3,100.0,79.0,58.0,28.0,85.0,53.0,11.0,63.6,0.0,0.0,0.0,0.0
B,625,95.4,100.0,76.0,53.0,21.0,76.0,42.0,16.0,67.8,25.0,0.0,0.0,0.0
B,233,96.9,100.0,75.0,45.0,15.0,68.0,22.0,4.0,66.7,30.0,0.0,0.0,0.0
A,717,95.5,94.6,82.0,57.0,26.0,81.0,51.0,22.0,67.3,29.7,0.0,0.0,0.0
B,10851,92.1,93.6,56.0,32.0,11.0,55.0,22.0,7.0,81.2,7.9,0.0,0.0,0.0
C,5603,93.2,93.2,65.0,38.0,15.0,65.0,32.0,13.0,53.5,13.9,0.0,0.0,0.0
A,216,97.0,,99.0,90.0,64.0,100.0,84.0,56.0,,,0.0,0.0,0.0
B,1280,94.2,98.6,77.0,52.0,21.0,68.0,30.0,12.0,33.3,26.1,0.0,0.0,0.0
C,433,91.4,100.0,62.0,31.0,11.0,57.0,21.0,6.0,100.0,14.3,0.0,0.0,0.0
B,2244,95.2,95.6,74.0,49.0,20.0,72.0,36.0,14.0,37.3,21.3,0.0,0.0,0.0
B,1809,94.9,93.0,75.0,49.0,21.0,79.0,46.0,19.0,81.7,20.2,0.0,0.0,0.0
A,302,97.0,100.0,87.0,55.0,21.0,78.0,42.0,18.0,6.7,-1.0,0.0,0.0,0.0
B,1543,95.4,98.1,71.0,46.0,18.0,69.0,38.0,15.0,53.5,18.9,0.0,0.0,0.0
B,1855,91.9,82.5,67.0,40.0,13.0,60.0,27.0,11.0,56.2,1.7,0.0,0.0,0.0
A,355,96.6,100.0,87.0,66.0,29.0,87.0,64.0,33.0,47.1,0.0,0.0,0.0,0.0
B,176,96.0,100.0,77.0,51.0,19.0,66.0,33.0,13.0,100.0,0.0,0.0,0.0,0.0
B,149,95.0,-1.0,51.0,22.0,6.0,45.0,14.0,5.0,-1.0,-1.0,0.0,0.0,0.0
A,1036,94.2,90.9,88.0,70.0,37.0,88.0,59.0,31.0,54.2,30.8,0.0,0.0,0.0
C,573,93.9,97.8,82.0,57.0,21.0,73.0,39.0,16.0,80.5,18.2,0.0,0.0,0.0
A,1881,94.6,97.9,78.0,52.0,23.0,77.0,45.0,19.0,85.7,33.3,0.0,0.0,0.0
A,977,,,96.0,86.0,50.0,89.0,69.0,32.0,-2.0,76.0,0.0,0.0,0.0
A,305,95.5,,96.0,79.0,49.0,93.0,66.0,36.0,,,0.0,0.0,0.0
Not Rated: Data Under Review,178,79.4,83.8,27.0,18.0,1.0,59.0,16.0,2.0,2.5,-1.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,185,92.2,,58.0,26.0,18.0,33.0,11.0,8.0,,,0.0,0.0,0.0
B,25551,93.6,90.5,70.0,46.0,22.0,70.0,37.0,17.0,87.5,22.0,0.0,0.0,0.0
B,725,95.9,100.0,76.0,53.0,22.0,77.0,38.0,17.0,88.9,15.0,0.0,0.0,0.0
B,1279,97.3,100.0,69.0,41.0,15.0,69.0,32.0,11.0,62.4,20.7,0.0,0.0,0.0
A,7575,96.0,98.9,84.0,63.0,32.0,84.0,58.0,30.0,50.0,43.0,0.0,0.0,0.0
A,10860,96.0,98.3,84.0,64.0,34.0,80.0,48.0,24.0,96.4,30.1,0.0,0.0,0.0
B,1110,94.6,95.8,68.0,40.0,13.0,62.0,29.0,13.0,25.4,17.6,0.0,0.0,0.0
A,1745,95.3,100.0,90.0,71.0,36.0,91.0,65.0,34.0,89.3,47.0,0.0,0.0,0.0
A,1003,95.8,100.0,87.0,66.0,37.0,93.0,69.0,38.0,98.5,41.5,0.0,0.0,0.0
B,296,97.5,100.0,79.0,48.0,17.0,74.0,39.0,12.0,100.0,15.0,0.0,0.0,0.0
A,597,94.9,94.4,76.0,52.0,22.0,86.0,51.0,24.0,94.3,6.1,0.0,0.0,0.0
A,586,96.9,100.0,96.0,81.0,47.0,94.0,71.0,41.0,100.0,37.9,0.0,0.0,0.0
B,126,94.3,100.0,68.0,38.0,14.0,66.0,28.0,13.0,58.3,0.0,0.0,0.0,0.0
A,2315,95.7,100.0,83.0,59.0,25.0,86.0,54.0,24.0,41.8,25.4,0.0,0.0,0.0
A,315,96.4,91.7,86.0,62.0,27.0,82.0,54.0,23.0,77.3,35.3,0.0,0.0,0.0
C,1160,92.0,98.8,66.0,41.0,17.0,52.0,23.0,8.0,48.8,10.3,0.0,0.0,0.0
B,1101,94.5,98.0,76.0,51.0,21.0,75.0,44.0,20.0,48.9,21.7,0.0,0.0,0.0
A,249,97.5,100.0,97.0,84.0,49.0,93.0,59.0,31.0,92.9,30.8,0.0,0.0,0.0
A,755,96.9,100.0,90.0,72.0,40.0,90.0,62.0,28.0,76.2,62.5,0.0,0.0,0.0
B,3508,91.2,91.6,66.0,40.0,17.0,66.0,35.0,15.0,23.1,32.7,0.0,0.0,0.0
A,1007,95.3,94.2,88.0,67.0,33.0,87.0,60.0,30.0,27.3,50.0,0.0,0.0,0.0
C,101,94.8,,84.0,45.0,24.0,60.0,31.0,7.0,,,0.0,0.0,0.0
B,1320,96.4,94.6,77.0,51.0,21.0,74.0,43.0,18.0,42.2,47.4,0.0,0.0,0.0
B,1077,95.1,98.6,78.0,55.0,25.0,80.0,46.0,22.0,65.7,15.2,0.0,0.0,0.0
B,13358,96.3,94.0,73.0,47.0,19.0,70.0,38.0,18.0,21.6,24.3,0.0,0.0,0.0
A,960,95.0,98.8,79.0,56.0,24.0,80.0,45.0,18.0,91.8,14.1,0.0,0.0,0.0
A,194,97.2,100.0,92.0,75.0,42.0,98.0,89.0,56.0,66.7,16.7,0.0,0.0,0.0
Not Rated: Senate Bill 1365,125,94.5,-1.0,49.0,28.0,12.0,49.0,10.0,4.0,-1.0,20.0,0.0,0.0,0.0
C,193,93.6,,67.0,38.0,15.0,48.0,19.0,4.0,,,0.0,0.0,0.0
B,855,95.3,96.8,74.0,47.0,21.0,61.0,23.0,9.0,93.3,17.9,0.0,0.0,0.0
A,9866,97.6,95.5,78.0,54.0,26.0,72.0,41.0,19.0,82.7,45.8,0.0,0.0,0.0
B,558,97.0,97.4,96.0,79.0,39.0,91.0,67.0,33.0,16.2,66.7,0.0,0.0,0.0
B,3089,93.1,95.1,72.0,43.0,16.0,65.0,28.0,10.0,19.8,16.7,0.0,0.0,0.0
A,1764,96.4,99.2,91.0,71.0,38.0,89.0,62.0,33.0,60.7,44.6,0.0,0.0,0.0
B,533,93.3,92.9,78.0,47.0,20.0,73.0,31.0,12.0,70.0,25.0,0.0,0.0,0.0
B,1492,96.3,97.0,76.0,52.0,20.0,79.0,44.0,20.0,40.4,40.0,0.0,0.0,0.0
B,687,96.9,100.0,73.0,49.0,18.0,67.0,35.0,17.0,59.5,20.0,0.0,0.0,0.0
A,620,95.1,100.0,82.0,60.0,28.0,78.0,47.0,19.0,84.4,27.8,0.0,0.0,0.0
C,14066,92.7,85.0,58.0,32.0,12.0,53.0,23.0,9.0,83.7,7.8,0.0,0.0,0.0
A,1234,95.8,96.2,82.0,60.0,27.0,83.0,52.0,25.0,85.1,33.7,0.0,0.0,0.0
A,757,97.7,98.2,82.0,57.0,27.0,79.0,41.0,13.0,15.1,75.0,0.0,0.0,0.0
B,609,96.4,98.2,72.0,42.0,18.0,69.0,26.0,10.0,25.9,66.7,0.0,0.0,0.0
A,2951,96.2,100.0,87.0,66.0,34.0,87.0,57.0,28.0,63.3,45.8,0.0,0.0,0.0
B,2270,92.8,91.3,58.0,31.0,11.0,46.0,15.0,5.0,50.7,15.5,0.0,0.0,0.0
A,2400,96.1,100.0,85.0,65.0,33.0,85.0,50.0,21.0,49.7,34.5,0.0,0.0,0.0
A,699,96.0,100.0,86.0,63.0,29.0,86.0,53.0,22.0,69.1,57.9,0.0,0.0,0.0
B,162,97.6,,88.0,52.0,23.0,84.0,52.0,21.0,,,0.0,0.0,0.0
B,231,95.5,91.7,79.0,50.0,22.0,60.0,30.0,17.0,16.7,-1.0,0.0,0.0,0.0
A,283,96.5,100.0,93.0,73.0,35.0,96.0,69.0,31.0,100.0,43.8,0.0,0.0,0.0
B,1961,95.1,97.3,77.0,50.0,20.0,73.0,37.0,14.0,34.7,32.7,0.0,0.0,0.0
B,296,96.6,90.0,89.0,69.0,40.0,84.0,50.0,27.0,61.1,36.4,0.0,0.0,0.0
B,1143,95.3,95.5,66.0,41.0,13.0,61.0,24.0,9.0,100.0,13.9,0.0,0.0,0.0
B,1767,93.6,95.7,72.0,45.0,19.0,66.0,31.0,12.0,99.2,15.2,0.0,0.0,0.0
A,6757,94.9,98.9,86.0,63.0,33.0,82.0,52.0,25.0,41.4,28.8,0.0,0.0,0.0
B,297,94.2,100.0,86.0,62.0,25.0,73.0,36.0,13.0,100.0,0.0,0.0,0.0,0.0
A,363,97.6,,91.0,71.0,43.0,90.0,63.0,31.0,,,0.0,0.0,0.0
B,26387,93.3,90.0,69.0,44.0,20.0,68.0,38.0,17.0,58.1,29.5,0.0,0.0,0.0
B,3081,93.8,94.1,79.0,55.0,27.0,80.0,48.0,21.0,98.6,20.3,0.0,0.0,0.0
B,1569,95.0,95.0,69.0,46.0,21.0,72.0,37.0,18.0,49.6,22.4,0.0,0.0,0.0
B,163,97.0,,92.0,71.0,29.0,82.0,43.0,20.0,,,0.0,0.0,0.0
A,409,96.7,94.1,87.0,68.0,28.0,90.0,57.0,28.0,83.9,42.3,0.0,0.0,0.0
B,1416,94.0,99.1,73.0,47.0,18.0,72.0,34.0,13.0,43.1,20.0,0.0,0.0,0.0
B,594,96.2,98.0,77.0,50.0,19.0,76.0,33.0,12.0,80.4,31.7,0.0,0.0,0.0
B,140,95.1,100.0,64.0,36.0,11.0,49.0,21.0,10.0,66.7,16.7,0.0,0.0,0.0
A,532,96.1,100.0,93.0,73.0,38.0,93.0,71.0,37.0,71.9,34.8,0.0,0.0,0.0
A,195,95.0,71.4,81.0,52.0,17.0,88.0,60.0,21.0,0.0,,0.0,0.0,0.0
B,123,99.6,100.0,83.0,42.0,6.0,81.0,42.0,25.0,100.0,66.7,0.0,0.0,0.0
B,872,94.1,96.8,76.0,49.0,21.0,77.0,43.0,17.0,67.7,18.2,0.0,0.0,0.0
B,133,92.0,85.7,71.0,38.0,22.0,63.0,38.0,19.0,0.0,,0.0,0.0,0.0
B,258,94.5,100.0,77.0,50.0,19.0,77.0,44.0,23.0,70.6,41.7,0.0,0.0,0.0
B,1685,94.7,97.7,73.0,48.0,19.0,66.0,27.0,9.0,70.0,20.2,0.0,0.0,0.0
B,805,94.4,98.1,76.0,48.0,21.0,79.0,43.0,19.0,81.5,11.4,0.0,0.0,0.0
B,144,94.2,80.0,70.0,40.0,20.0,67.0,31.0,7.0,-1.0,-1.0,0.0,0.0,0.0
A,148,97.5,,90.0,65.0,40.0,95.0,76.0,47.0,,,0.0,0.0,0.0
A,147,96.2,100.0,89.0,63.0,23.0,79.0,49.0,23.0,88.9,0.0,0.0,0.0,0.0
B,175,95.4,100.0,89.0,67.0,30.0,76.0,38.0,13.0,90.9,0.0,0.0,0.0,0.0
A,322,95.9,100.0,86.0,61.0,25.0,81.0,47.0,22.0,84.0,19.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,341,89.6,,61.0,28.0,14.0,36.0,10.0,2.0,,,0.0,0.0,0.0
B,67490,96.2,96.5,82.0,63.0,34.0,82.0,57.0,32.0,59.9,59.2,0.0,0.0,0.0
A,9328,95.0,97.2,86.0,67.0,35.0,89.0,66.0,37.0,80.0,44.1,0.0,0.0,0.0
C,8395,95.4,94.0,73.0,48.0,20.0,66.0,31.0,11.0,89.1,16.5,0.0,0.0,0.0
A,13613,94.0,95.1,78.0,57.0,28.0,77.0,46.0,23.0,65.8,43.1,0.0,0.0,0.0
B,4362,92.7,93.5,69.0,41.0,17.0,68.0,28.0,10.0,53.6,13.6,0.0,0.0,0.0
B,17098,92.4,94.2,70.0,46.0,19.0,68.0,37.0,16.0,91.6,9.7,0.0,0.0,0.0
B,4268,93.7,97.6,79.0,52.0,21.0,82.0,49.0,20.0,45.9,12.1,0.0,0.0,0.0
A,618,95.4,100.0,80.0,54.0,23.0,81.0,42.0,20.0,35.0,21.4,0.0,0.0,0.0
B,994,92.9,100.0,74.0,44.0,15.0,67.0,29.0,11.0,37.4,17.6,0.0,0.0,0.0
A,866,94.0,98.0,84.0,59.0,23.0,81.0,46.0,17.0,65.3,18.8,0.0,0.0,0.0
A,157,98.6,100.0,87.0,64.0,26.0,83.0,55.0,22.0,100.0,9.1,0.0,0.0,0.0
A,256,98.8,,98.0,88.0,66.0,98.0,86.0,61.0,,,0.0,0.0,0.0
B,407,96.1,90.0,72.0,48.0,17.0,73.0,36.0,18.0,100.0,10.5,0.0,0.0,0.0
A,554,95.9,100.0,80.0,58.0,22.0,69.0,33.0,14.0,86.0,37.8,0.0,0.0,0.0
B,748,95.5,100.0,81.0,57.0,28.0,80.0,43.0,16.0,50.0,36.8,0.0,0.0,0.0
C,5883,91.4,94.2,65.0,40.0,16.0,57.0,28.0,11.0,35.4,30.8,0.0,0.0,0.0
A,759,96.2,100.0,87.0,61.0,29.0,82.0,48.0,21.0,88.4,10.5,0.0,0.0,0.0
A,1137,96.3,98.7,88.0,72.0,41.0,89.0,64.0,30.0,92.3,40.3,0.0,0.0,0.0
B,344,95.9,96.7,80.0,52.0,23.0,71.0,24.0,10.0,69.0,0.0,0.0,0.0,0.0
B,93,95.8,,78.0,51.0,24.0,65.0,22.0,8.0,,,0.0,0.0,0.0
B,456,96.3,100.0,83.0,62.0,31.0,81.0,56.0,25.0,59.4,52.6,0.0,0.0,0.0
B,903,93.7,98.2,80.0,53.0,24.0,78.0,47.0,20.0,93.0,13.2,0.0,0.0,0.0
B,5996,93.4,85.0,72.0,47.0,20.0,72.0,42.0,18.0,83.9,19.5,0.0,0.0,0.0
C,435,93.9,100.0,74.0,44.0,20.0,72.0,35.0,12.0,36.4,50.0,0.0,0.0,0.0
B,552,94.0,100.0,74.0,44.0,16.0,78.0,37.0,15.0,79.2,10.5,0.0,0.0,0.0
B,831,94.9,92.7,88.0,62.0,28.0,83.0,49.0,26.0,42.3,36.4,0.0,0.0,0.0
A,993,95.1,95.7,75.0,50.0,21.0,74.0,47.0,22.0,45.6,19.4,0.0,0.0,0.0
B,232,91.8,87.5,58.0,35.0,15.0,56.0,21.0,6.0,100.0,7.1,0.0,0.0,0.0
B,958,92.6,98.4,74.0,43.0,18.0,66.0,31.0,9.0,30.0,5.6,0.0,0.0,0.0
B,529,94.0,97.6,81.0,57.0,26.0,67.0,33.0,13.0,37.5,26.7,0.0,0.0,0.0
B,3076,93.5,95.5,60.0,35.0,15.0,41.0,14.0,5.0,100.0,17.4,0.0,0.0,0.0
B,2052,94.0,95.2,64.0,40.0,15.0,63.0,31.0,10.0,38.7,15.1,0.0,0.0,0.0
B,155,96.3,100.0,96.0,70.0,30.0,84.0,40.0,10.0,94.4,35.3,0.0,0.0,0.0
A,225,97.3,100.0,90.0,67.0,35.0,94.0,71.0,36.0,62.5,10.0,0.0,0.0,0.0
B,166,94.4,,81.0,46.0,27.0,56.0,20.0,6.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,121,95.7,,84.0,59.0,44.0,58.0,18.0,7.0,,,0.0,0.0,0.0
B,495,97.5,,92.0,74.0,46.0,85.0,50.0,20.0,,,0.0,0.0,0.0
B,400,94.1,94.9,83.0,60.0,25.0,71.0,31.0,12.0,26.3,30.0,0.0,0.0,0.0
A,1457,97.7,97.5,81.0,57.0,24.0,83.0,54.0,30.0,59.1,15.4,0.0,0.0,0.0
B,3856,94.9,95.8,82.0,59.0,28.0,82.0,51.0,24.0,96.2,25.5,0.0,0.0,0.0
B,33107,91.3,95.5,71.0,46.0,20.0,69.0,36.0,15.0,44.9,30.8,0.0,0.0,0.0
B,272,96.0,,87.0,63.0,38.0,81.0,45.0,18.0,,,0.0,0.0,0.0
A,1427,97.9,97.5,93.0,78.0,42.0,94.0,73.0,41.0,74.4,67.2,0.0,0.0,0.0
A,524,95.8,100.0,89.0,68.0,33.0,87.0,63.0,30.0,68.1,75.0,0.0,0.0,0.0
B,2479,84.5,87.0,59.0,37.0,13.0,52.0,22.0,8.0,97.8,3.0,0.0,0.0,0.0
B,3745,93.6,91.5,81.0,58.0,27.0,74.0,39.0,15.0,100.0,38.5,0.0,0.0,0.0
A,858,91.6,96.6,86.0,62.0,26.0,83.0,50.0,20.0,41.1,17.4,0.0,0.0,0.0
A,5523,95.7,85.6,85.0,64.0,32.0,82.0,53.0,27.0,53.1,54.5,0.0,0.0,0.0
B,1964,89.5,93.0,71.0,44.0,17.0,66.0,29.0,10.0,45.3,12.1,0.0,0.0,0.0
A,2046,94.7,99.4,84.0,62.0,26.0,83.0,53.0,26.0,38.0,25.0,0.0,0.0,0.0
Not Rated,178,97.3,100.0,78.0,53.0,15.0,71.0,47.0,19.0,39.6,31.6,0.0,0.0,0.0
A,368,97.8,100.0,95.0,78.0,40.0,95.0,73.0,41.0,77.8,47.6,0.0,0.0,0.0
B,113,96.0,100.0,92.0,53.0,18.0,74.0,27.0,10.0,83.3,10.0,0.0,0.0,0.0
B,230,97.0,,82.0,56.0,21.0,81.0,47.0,19.0,64.7,0.0,0.0,0.0,0.0
B,3090,95.4,94.4,82.0,61.0,31.0,81.0,46.0,19.0,74.2,28.5,0.0,0.0,0.0
B,1843,95.5,97.3,82.0,56.0,25.0,81.0,44.0,18.0,87.4,21.6,0.0,0.0,0.0
B,2555,89.3,87.7,55.0,31.0,11.0,47.0,18.0,6.0,47.6,8.6,0.0,0.0,0.0
B,4254,94.3,85.0,71.0,47.0,22.0,74.0,42.0,20.0,51.1,28.1,0.0,0.0,0.0
B,3223,93.5,95.9,74.0,48.0,20.0,69.0,35.0,14.0,49.7,38.9,0.0,0.0,0.0
B,264,95.6,100.0,75.0,44.0,20.0,66.0,30.0,11.0,62.5,20.0,0.0,0.0,0.0
B,321,95.2,92.0,70.0,47.0,22.0,66.0,32.0,11.0,58.3,21.4,0.0,0.0,0.0
B,3228,94.8,95.9,69.0,42.0,16.0,68.0,35.0,14.0,28.2,27.1,0.0,0.0,0.0
A,496,96.9,100.0,89.0,59.0,32.0,87.0,57.0,28.0,44.7,47.1,0.0,0.0,0.0
B,162,96.8,100.0,65.0,34.0,14.0,70.0,35.0,18.0,63.6,14.3,0.0,0.0,0.0
A,84,97.0,,94.0,82.0,55.0,100.0,73.0,33.0,,,0.0,0.0,0.0
B,209,96.7,96.4,73.0,54.0,12.0,66.0,36.0,22.0,16.4,44.4,0.0,0.0,0.0
A,686,96.3,96.4,88.0,66.0,32.0,89.0,62.0,29.0,89.1,20.4,0.0,0.0,0.0
B,2668,94.4,94.6,77.0,52.0,24.0,74.0,42.0,17.0,45.7,36.7,0.0,0.0,0.0
B,487,94.2,100.0,79.0,51.0,24.0,76.0,38.0,11.0,75.0,29.6,0.0,0.0,0.0
A,149,93.4,100.0,73.0,48.0,1.0,39.0,3.0,0.0,3.7,-1.0,0.0,0.0,0.0
B,644,95.5,100.0,84.0,55.0,28.0,82.0,49.0,24.0,55.6,30.0,0.0,0.0,0.0
C,3883,95.3,91.0,76.0,51.0,21.0,74.0,39.0,17.0,38.2,33.3,0.0,0.0,0.0
B,8005,93.2,97.1,75.0,52.0,24.0,72.0,39.0,16.0,41.3,46.2,0.0,0.0,0.0
A,1100,95.6,97.3,80.0,56.0,25.0,83.0,50.0,25.0,50.0,34.2,0.0,0.0,0.0
A,7325,96.3,98.7,90.0,77.0,47.0,90.0,66.0,38.0,87.0,56.1,0.0,0.0,0.0
B,1622,95.3,97.8,83.0,61.0,30.0,76.0,43.0,21.0,38.2,50.0,0.0,0.0,0.0
A,2002,96.2,99.1,91.0,76.0,41.0,90.0,65.0,31.0,83.2,50.0,0.0,0.0,0.0
B,244,97.4,,73.0,48.0,18.0,77.0,36.0,14.0,,,0.0,0.0,0.0
A,458,96.0,100.0,74.0,47.0,15.0,72.0,38.0,18.0,100.0,10.5,0.0,0.0,0.0
B,585,96.2,100.0,88.0,66.0,33.0,90.0,67.0,37.0,87.8,19.4,0.0,0.0,0.0
B,1078,96.2,100.0,73.0,45.0,15.0,69.0,31.0,10.0,20.0,23.1,0.0,0.0,0.0
B,164,96.0,87.5,83.0,54.0,20.0,78.0,39.0,16.0,100.0,14.3,0.0,0.0,0.0
B,240,95.9,100.0,85.0,58.0,29.0,85.0,46.0,17.0,100.0,36.4,0.0,0.0,0.0
B,2230,83.0,92.5,67.0,39.0,15.0,65.0,31.0,13.0,3.4,20.0,0.0,0.0,0.0
